Total_Funding_USD_M,Burn_Rate_USD_M,Runway_Months,Revenue_USD_M,Revenue_Growth_Rate,Net_Profit_Margin,CAC,LTV,LTV_CAC_Ratio,ARR_USD_M,Churn_Rate,Novelty_Score,Sustainability_Alignment,Sentiment_Score,Social_Buzz_Score,label
15.813,0.219,36.03,8.713,0.555,-0.263,0.49,1.91,3.894,5.765,0.073,0.448,0,0.549,0.585,1
27.105,0.857,15.82,10.058,0.048,-0.024,0.323,1.714,5.303,11.72,0.024,0.116,1,0.523,0.334,1
9.671,0.345,14.0,11.055,0.563,0.033,0.504,0.908,1.802,7.21,0.119,0.846,0,0.431,0.318,1
11.796,0.626,9.43,3.742,0.317,-0.125,0.413,1.754,4.242,1.745,0.059,0.25,1,0.194,0.222,1
19.925,0.539,18.47,14.047,0.331,0.18,0.393,1.324,3.367,11.463,0.059,0.903,0,0.309,0.024,1
15.213,0.36,21.1,14.59,0.008,0.037,0.294,1.706,5.804,8.496,0.094,0.489,1,0.135,0.025,1
24.611,0.354,34.74,4.888,0.321,0.165,0.385,1.627,4.228,4.899,0.074,0.82,0,-0.287,0.423,1
22.898,0.669,17.11,6.014,0.473,0.013,0.529,1.836,3.471,5.568,0.122,0.501,0,-0.217,0.144,1
15.702,0.849,9.25,7.507,0.083,-0.107,0.342,1.551,4.538,7.125,0.033,0.275,1,-0.113,0.058,1
10.123,0.568,8.92,7.749,0.45,0.073,0.43,2.068,4.812,4.299,0.01,0.564,1,0.59,0.234,1
14.897,0.618,12.06,11.805,0.368,-0.203,0.357,0.238,0.668,11.414,0.065,0.68,0,0.477,0.411,1
23.137,0.743,15.57,6.003,0.221,0.158,0.369,1.695,4.597,3.896,0.083,0.356,1,-0.278,0.229,1
25.027,0.357,35.04,5.401,0.521,-0.137,0.609,2.201,3.617,6.475,0.018,0.901,0,0.119,0.229,1
15.243,0.785,9.71,34.038,-0.09,0.234,0.53,2.535,4.781,33.541,0.011,0.702,0,-0.041,0.657,1
7.553,0.805,4.69,15.664,0.419,-0.018,0.362,1.966,5.432,13.664,0.089,0.812,0,0.046,0.125,1
9.411,1.251,3.76,3.199,0.674,0.263,0.382,2.442,6.391,3.498,0.042,0.817,0,-0.088,0.076,1
22.339,0.506,22.07,20.137,0.638,-0.175,0.245,1.684,6.883,17.548,0.007,0.847,1,0.592,0.354,1
15.586,0.485,16.05,7.452,0.428,-0.086,0.324,1.601,4.942,6.276,0.128,0.231,0,0.093,0.102,1
15.754,0.792,9.94,5.957,0.29,0.126,0.396,1.865,4.704,3.514,0.048,0.228,1,0.176,0.056,1
11.706,0.805,7.27,10.713,0.223,0.284,0.478,1.598,3.347,10.097,0.137,0.741,0,0.178,0.399,1
11.602,0.466,12.44,7.269,0.289,0.383,0.462,1.209,2.614,5.086,0.081,0.408,1,-0.26,0.243,0
26.91,0.499,26.95,14.282,0.459,0.058,0.184,1.342,7.311,6.205,0.095,0.203,0,0.138,0.425,1
22.678,0.735,15.42,10.006,0.189,0.418,0.497,1.044,2.102,10.535,0.069,0.567,1,0.472,0.197,1
13.989,0.393,17.79,10.204,0.501,-0.008,0.337,1.864,5.537,4.505,0.0,0.33,1,0.615,0.083,1
19.297,0.497,19.4,13.93,0.777,0.27,0.202,1.606,7.951,13.064,0.023,0.376,0,-0.302,0.114,1
20.75,0.622,16.67,10.177,0.338,-0.138,0.55,1.42,2.579,5.347,0.074,0.24,0,-0.432,0.486,0
36.21,0.849,21.33,7.092,0.081,0.134,0.569,1.317,2.312,5.291,0.098,0.544,1,0.122,0.313,0
11.146,0.449,12.42,16.036,0.081,-0.418,0.39,1.853,4.755,17.436,0.0,0.931,1,0.488,0.333,1
20.633,0.139,48.0,13.828,0.505,-0.174,0.456,1.99,4.361,6.576,0.077,0.419,0,0.226,0.251,1
26.853,0.121,48.0,11.268,0.338,0.143,0.465,1.035,2.225,10.521,0.024,0.627,1,0.338,0.124,1
34.381,0.285,48.0,17.294,0.525,-0.212,0.559,0.956,1.709,15.393,0.092,0.374,1,-0.376,0.282,1
13.666,0.272,25.15,10.431,0.243,0.135,0.459,2.077,4.524,11.412,0.079,0.678,1,-0.1,0.687,1
15.497,0.561,13.8,12.365,0.516,0.231,0.151,0.912,6.049,6.655,0.117,0.082,0,-0.669,0.161,1
24.71,0.303,40.81,12.701,0.318,-0.05,0.651,1.874,2.876,13.207,0.133,0.302,0,0.05,0.575,1
8.624,0.424,10.16,7.292,0.203,-0.144,0.51,2.408,4.724,5.542,0.103,0.715,1,-0.657,0.413,1
21.509,0.406,26.46,36.777,0.27,-0.045,0.274,2.41,8.0,27.322,0.123,0.83,0,0.566,0.551,1
41.782,0.49,42.65,11.413,0.111,-0.143,0.196,1.969,8.0,7.868,0.062,0.525,0,0.644,0.642,1
22.481,0.931,12.08,8.428,0.748,0.03,0.426,1.954,4.591,5.971,0.221,0.329,1,0.149,0.149,1
5.64,0.765,3.68,7.569,0.331,0.07,0.308,2.726,8.0,6.176,0.019,0.466,0,-0.429,0.084,1
12.486,0.604,10.34,4.169,0.479,-0.011,0.399,0.433,1.083,2.024,0.054,0.242,0,0.231,0.417,0
13.861,0.485,14.3,3.815,0.243,0.385,0.462,1.368,2.964,2.824,0.125,0.903,1,0.751,0.39,1
29.476,0.492,29.97,36.195,0.14,-0.094,0.265,2.024,7.638,33.357,0.118,0.371,1,0.267,0.115,1
17.329,0.682,12.71,3.935,0.303,0.328,0.183,1.431,7.839,3.142,0.104,0.484,1,0.515,0.475,1
7.613,0.746,5.1,7.33,0.57,-0.158,0.408,2.22,5.443,3.905,0.114,0.612,1,-0.07,0.366,1
18.206,0.373,24.4,9.458,0.246,0.065,0.27,1.58,5.853,6.53,0.0,0.441,0,-0.205,0.299,1
19.815,0.609,16.27,10.009,0.176,0.287,0.372,1.666,4.479,7.551,0.159,0.26,0,0.075,0.092,1
14.676,0.092,48.0,9.745,0.381,0.276,0.149,1.463,8.0,9.112,0.07,0.611,0,-0.574,0.531,1
11.507,0.653,8.81,9.897,0.45,-0.034,0.312,1.339,4.288,11.091,0.142,0.403,1,0.892,0.677,1
43.761,0.791,27.68,13.442,0.679,0.161,0.457,1.326,2.901,11.295,0.0,0.84,0,0.149,0.277,1
26.89,0.53,25.37,8.641,0.421,0.134,0.441,1.736,3.937,8.132,0.093,0.494,0,0.403,0.306,1
27.929,1.054,13.25,12.834,0.479,-0.058,0.232,1.213,5.233,5.926,0.052,0.661,0,-0.062,0.236,1
17.346,0.38,22.84,10.631,0.494,0.173,0.175,2.077,8.0,12.369,0.109,0.459,0,-0.44,0.394,1
13.561,0.654,10.36,17.213,0.119,0.422,0.352,1.927,5.468,11.226,0.096,0.393,0,0.599,0.037,1
15.005,0.591,12.69,17.235,0.157,0.144,0.434,2.15,4.951,11.779,0.098,0.623,1,-0.293,0.249,1
9.658,0.575,8.4,8.664,0.133,0.163,0.411,1.036,2.521,5.01,0.027,0.339,0,0.222,0.447,0
35.906,0.571,31.42,13.596,0.084,0.184,0.273,0.75,2.746,6.359,0.077,0.677,1,0.255,0.182,1
17.66,0.627,14.09,18.529,0.509,-0.242,0.395,1.598,4.049,19.122,0.071,0.435,1,0.126,0.518,1
32.379,0.812,19.94,6.571,0.408,0.142,0.575,3.049,5.3,3.893,0.105,0.472,0,-0.175,0.643,1
15.336,0.944,8.12,10.596,0.366,-0.153,0.381,2.233,5.865,6.635,0.129,0.422,1,0.048,0.504,1
22.622,0.599,18.87,13.299,-0.169,-0.068,0.105,1.323,8.0,7.254,0.088,0.536,0,-0.233,0.276,1
20.295,0.804,12.62,6.414,0.761,0.482,0.38,1.812,4.763,7.568,0.016,0.59,0,0.383,0.401,1
9.165,0.425,10.79,9.214,0.171,-0.001,0.657,1.964,2.991,9.443,0.085,0.708,0,0.3,0.193,1
37.873,0.791,23.93,24.733,0.76,-0.098,0.157,0.916,5.837,28.293,0.211,0.231,1,0.093,0.765,1
15.547,0.41,18.98,8.482,0.06,0.281,0.354,2.285,6.446,9.24,0.162,0.135,1,-0.099,0.098,1
10.642,0.873,6.1,8.984,0.188,-0.14,0.316,1.516,4.798,10.108,0.0,0.682,0,0.838,0.672,1
24.796,1.153,10.76,4.509,-0.091,-0.039,0.364,1.555,4.267,3.532,0.083,0.266,1,-0.356,0.498,0
18.622,0.569,16.35,14.96,0.422,0.3,0.379,1.612,4.251,8.025,0.127,0.776,1,-0.441,0.128,1
21.738,0.052,48.0,5.983,0.13,0.059,0.521,2.172,4.169,3.958,0.071,0.32,1,0.071,0.449,1
19.46,0.463,21.02,10.716,0.135,-0.262,0.363,1.222,3.37,6.793,0.057,0.42,0,0.01,0.309,1
5.964,0.908,3.28,7.235,0.075,0.159,0.542,0.747,1.378,7.045,0.067,0.495,1,0.484,0.237,0
12.287,0.738,8.32,12.822,0.505,-0.029,0.332,1.761,5.3,5.392,0.108,0.161,1,0.326,0.231,1
12.06,0.662,9.11,1.761,0.492,0.358,0.297,0.578,1.944,0.905,0.023,0.503,0,0.11,0.24,0
27.752,0.852,16.28,11.939,0.712,-0.071,0.25,1.449,5.807,11.298,0.139,0.81,1,0.275,0.317,1
18.933,0.721,13.13,13.484,0.213,0.26,0.077,2.193,8.0,6.725,0.077,0.177,0,0.269,0.619,1
23.214,0.904,12.83,9.34,0.394,0.405,0.391,1.89,4.828,4.097,0.033,0.332,1,0.836,0.049,1
15.976,0.83,9.63,9.649,0.092,-0.12,0.658,2.121,3.223,4.703,0.136,0.385,1,0.189,0.103,0
23.713,0.98,12.09,8.74,0.283,0.011,0.419,1.91,4.562,8.326,0.003,0.239,0,-0.138,0.08,1
17.363,0.69,12.59,10.643,0.246,0.128,0.453,2.805,6.192,5.444,0.052,0.258,0,0.169,0.501,1
16.798,0.826,10.16,22.619,0.443,-0.121,0.288,1.306,4.534,11.695,0.051,0.327,1,-0.817,0.314,1
20.234,0.523,19.34,17.478,0.553,0.104,0.313,1.799,5.741,10.212,0.187,0.751,1,0.089,0.129,1
19.46,0.45,21.64,10.638,0.548,0.005,0.498,1.381,2.775,10.646,0.046,0.352,1,0.483,0.259,1
49.965,1.027,24.33,9.216,0.181,0.001,0.651,2.078,3.191,5.164,0.0,0.298,1,0.311,0.365,1
12.222,0.654,9.34,16.673,0.55,0.06,0.573,1.569,2.738,7.141,0.051,0.341,0,0.204,0.125,1
8.662,0.801,5.41,12.408,0.341,0.064,0.471,2.459,5.224,13.955,0.103,0.911,0,0.327,0.307,1
21.529,0.631,17.06,6.326,0.285,0.083,0.355,1.335,3.757,6.965,0.119,0.65,1,0.486,0.349,1
13.049,0.453,14.39,10.01,0.208,-0.07,0.381,2.304,6.039,5.484,0.194,0.596,0,0.599,0.03,1
5.581,0.603,4.63,21.439,0.238,-0.061,0.237,1.897,8.0,13.127,0.15,0.805,1,0.257,0.423,1
10.909,0.959,5.69,14.667,0.698,0.026,0.133,1.584,8.0,8.079,0.089,0.391,0,-0.011,0.543,1
45.032,0.739,30.48,9.269,0.411,0.041,0.181,1.871,8.0,9.043,0.035,0.462,0,-0.71,0.388,1
12.069,0.172,35.06,4.815,0.385,-0.038,0.357,1.731,4.841,2.889,0.161,0.083,1,0.442,0.195,1
7.225,0.546,6.61,12.79,0.298,0.115,0.306,1.778,5.807,14.646,0.062,0.608,1,0.28,0.28,1
43.772,1.046,20.93,11.501,0.839,-0.313,0.13,1.497,8.0,12.216,0.047,0.472,1,0.153,0.159,1
10.703,0.547,9.79,10.469,0.611,-0.096,0.344,1.249,3.627,9.115,0.059,0.616,0,-0.141,0.372,1
56.703,0.15,48.0,16.765,0.206,-0.006,0.302,1.432,4.74,6.826,0.017,0.204,1,0.438,0.504,1
15.662,1.073,7.3,14.757,0.295,-0.121,0.174,0.758,4.357,16.335,0.057,0.857,0,0.01,0.175,1
37.943,0.771,24.62,4.912,0.307,0.376,0.294,2.021,6.863,4.824,0.068,0.851,1,0.088,0.314,1
16.626,0.582,14.27,11.534,0.379,0.054,0.302,0.982,3.255,11.884,0.117,0.325,1,0.08,0.266,1
22.681,0.507,22.36,5.631,0.21,0.085,0.258,1.491,5.791,2.576,0.061,0.171,0,0.257,0.369,1
17.534,0.871,10.07,8.818,0.438,-0.047,0.489,1.924,3.935,8.526,0.017,0.38,1,-0.302,0.434,1
16.683,0.465,17.96,5.394,0.64,0.047,0.065,2.02,8.0,5.629,0.0,0.841,0,0.297,0.278,1
20.746,0.887,11.69,5.505,0.087,-0.193,0.052,0.713,8.0,6.415,0.09,0.766,0,-0.152,0.126,1
23.045,0.736,15.67,13.576,0.124,0.016,0.35,1.554,4.434,11.735,0.084,0.831,1,-0.14,0.184,1
20.042,0.661,15.16,12.911,0.253,-0.137,0.364,1.83,5.021,10.412,0.052,0.786,0,0.41,0.283,1
19.13,0.636,15.03,11.101,0.263,-0.005,0.411,1.626,3.96,8.218,0.057,0.204,1,-0.248,0.396,1
13.1,0.556,11.78,8.418,0.75,-0.462,0.269,2.272,8.0,8.09,0.099,0.184,0,0.409,0.578,1
17.839,0.861,10.35,5.168,0.55,-0.176,0.212,1.189,5.601,5.874,0.15,0.276,0,0.135,0.659,1
35.83,0.384,46.69,8.84,0.539,0.343,0.349,0.575,1.649,7.777,0.041,0.717,1,-0.477,0.094,1
12.819,0.195,32.95,12.94,0.297,0.216,0.284,2.005,7.066,7.529,0.084,0.703,0,0.578,0.49,1
21.015,0.754,13.94,12.792,0.293,0.314,0.583,1.331,2.285,5.297,0.128,0.609,1,0.209,0.283,0
30.967,0.758,20.43,21.22,0.06,0.328,0.301,0.721,2.392,18.998,0.041,0.501,0,0.238,0.727,1
23.131,0.72,16.06,19.736,0.506,0.185,0.342,1.521,4.446,21.545,0.079,0.131,0,0.453,0.24,1
27.882,0.702,19.86,11.326,0.448,-0.041,0.721,2.215,3.071,5.128,0.078,0.339,0,0.625,0.409,1
10.622,0.52,10.22,8.791,0.607,-0.157,0.321,0.968,3.019,6.312,0.014,0.584,0,0.17,0.414,1
21.039,0.797,13.2,7.335,0.308,0.279,0.433,2.768,6.386,8.45,0.088,0.31,0,0.316,0.291,1
16.254,0.589,13.81,4.714,0.322,0.063,0.447,1.181,2.643,3.778,0.082,0.332,0,0.23,0.442,0
16.573,0.478,17.33,5.979,0.384,0.5,0.46,1.644,3.575,3.447,0.108,0.603,0,-0.02,0.044,1
34.487,0.522,33.03,12.949,0.528,-0.023,0.393,0.99,2.517,8.843,0.021,0.587,0,-0.454,0.169,1
16.694,1.105,7.55,15.262,0.056,0.445,0.379,1.621,4.276,11.088,0.08,0.601,0,0.175,0.23,1
21.343,0.166,48.0,9.725,0.497,0.019,0.365,1.533,4.2,4.803,0.149,0.547,0,0.583,0.193,1
7.23,0.725,4.99,31.887,0.346,0.317,0.264,0.855,3.244,29.611,0.184,0.505,0,0.304,0.14,1
37.924,0.18,48.0,6.012,0.138,0.389,0.399,3.013,7.554,5.253,0.144,0.86,0,-0.274,0.12,1
27.17,0.573,23.71,4.448,-0.067,-0.155,0.654,1.352,2.067,4.084,0.021,0.313,0,0.484,0.485,0
18.142,0.492,18.45,31.609,0.323,-0.047,0.532,1.353,2.545,28.089,0.103,0.508,0,-0.008,0.341,1
15.923,0.079,48.0,5.025,0.64,-0.157,0.396,2.085,5.269,2.077,0.056,0.282,0,-0.632,0.055,1
24.168,0.697,17.33,9.656,0.685,-0.196,0.478,2.507,5.241,5.21,0.094,0.113,0,0.456,0.287,1
30.801,0.505,30.5,7.667,0.421,0.183,0.22,2.163,8.0,4.082,0.041,0.428,1,-0.231,0.198,1
38.155,0.075,48.0,13.43,0.742,0.011,0.311,0.999,3.214,6.424,0.0,0.986,0,0.723,0.341,1
26.774,0.81,16.53,9.282,0.341,0.06,0.492,1.707,3.468,9.174,0.063,0.467,0,0.502,0.724,1
19.248,0.959,10.04,15.285,0.541,0.161,0.573,0.659,1.15,7.583,0.116,0.393,1,0.02,0.125,0
28.59,0.973,14.7,16.933,0.26,-0.321,0.234,2.051,8.0,15.825,0.094,0.307,0,0.261,0.167,1
26.276,0.69,19.05,4.687,0.247,0.307,0.277,0.782,2.82,2.544,0.1,0.858,0,0.948,0.173,1
19.282,0.612,15.77,7.206,0.214,-0.02,0.677,1.198,1.77,3.564,0.091,0.355,1,0.45,0.184,0
25.936,0.932,13.91,15.934,-0.062,0.156,0.364,1.598,4.386,8.445,0.1,0.555,1,0.183,0.071,1
25.72,1.021,12.6,18.6,0.607,0.174,0.624,1.823,2.923,15.005,0.106,0.462,1,1.0,0.324,1
18.094,0.883,10.24,12.243,0.222,0.324,0.381,1.47,3.857,11.219,0.066,0.464,1,0.141,0.171,1
14.537,0.365,19.93,13.925,0.19,0.029,0.387,2.36,6.098,14.615,0.084,0.77,0,0.304,0.258,1
24.735,0.65,19.02,21.885,0.114,-0.375,0.304,1.962,6.449,11.005,0.167,0.871,1,-0.228,0.183,1
11.206,0.71,7.89,9.343,0.309,0.061,0.491,1.922,3.912,8.343,0.087,0.736,0,-0.486,0.717,1
10.004,0.148,33.89,12.175,0.703,0.09,0.554,0.985,1.78,12.408,0.082,0.213,1,-0.001,0.346,1
21.495,0.717,14.98,19.746,0.769,-0.157,0.195,2.45,8.0,12.834,0.085,0.483,0,0.113,0.343,1
24.437,1.168,10.46,20.354,0.018,0.079,0.297,1.198,4.033,9.44,0.069,0.551,0,0.215,0.424,1
21.422,0.76,14.09,10.685,0.279,-0.022,0.487,2.469,5.067,5.607,0.058,0.466,0,-0.397,0.319,1
22.476,0.968,11.61,7.33,0.143,-0.219,0.331,2.611,7.899,3.469,0.09,0.59,0,0.331,0.756,1
5.912,0.646,4.58,10.624,0.548,0.184,0.276,1.856,6.726,11.79,0.055,0.559,0,-0.191,0.343,1
24.252,0.582,20.85,11.15,0.407,-0.063,0.501,2.116,4.22,7.82,0.073,0.3,1,0.313,0.175,1
34.545,0.695,24.84,7.187,0.223,-0.031,0.516,0.2,0.388,5.884,0.04,0.384,0,0.427,0.219,0
26.979,0.396,34.06,7.768,0.365,-0.043,0.283,1.502,5.318,7.884,0.085,0.401,1,-0.038,0.527,1
26.618,0.359,37.07,20.368,0.255,0.297,0.382,2.151,5.633,14.2,0.109,0.415,0,-0.237,0.136,1
20.752,0.917,11.32,14.245,0.673,0.042,0.169,2.062,8.0,13.095,0.069,0.333,0,0.64,0.03,1
21.102,0.943,11.19,9.681,0.459,0.066,0.216,0.99,4.591,4.466,0.0,0.71,0,0.406,0.168,1
17.421,0.352,24.73,6.218,0.484,-0.038,0.369,1.453,3.942,4.879,0.11,0.169,0,0.153,0.517,1
22.179,0.842,13.17,7.818,-0.183,0.143,0.355,0.332,0.935,3.731,0.086,0.856,0,0.614,0.404,0
10.933,0.578,9.45,4.241,0.337,0.32,0.205,1.806,8.0,2.538,0.03,0.227,0,0.129,0.415,1
34.617,0.685,25.27,12.403,0.767,0.18,0.243,0.658,2.714,7.872,0.119,0.587,0,-0.117,0.086,1
12.425,0.715,8.69,7.59,0.615,0.187,0.19,2.165,8.0,7.393,0.01,0.501,1,-0.251,0.076,1
26.955,0.849,15.88,12.896,-0.019,0.171,0.418,2.191,5.239,12.113,0.132,0.789,0,0.062,0.136,1
32.666,0.621,26.31,15.854,0.287,-0.226,0.055,1.363,8.0,15.817,0.077,0.578,1,0.37,0.375,1
26.927,0.953,14.13,12.99,0.11,-0.125,0.198,1.861,8.0,5.838,0.0,0.584,1,0.586,0.374,1
46.869,0.677,34.6,9.071,0.692,0.009,0.071,1.491,8.0,10.841,0.089,0.42,0,0.108,0.056,1
6.155,0.756,4.07,6.989,0.399,-0.095,0.413,1.721,4.168,3.1,0.06,0.327,1,0.525,0.34,1
14.984,0.392,19.13,5.724,0.196,-0.163,0.08,1.026,8.0,6.071,0.052,0.667,1,0.025,0.474,1
32.423,1.14,14.22,19.405,0.357,-0.324,0.355,1.911,5.387,19.254,0.043,0.829,1,-0.174,0.7,1
9.806,0.717,6.83,12.71,-0.171,-0.219,0.596,0.779,1.308,11.101,0.074,0.787,1,-0.357,0.232,0
12.611,0.778,8.1,9.34,0.133,-0.001,0.601,0.685,1.14,7.015,0.056,0.423,0,-0.077,0.104,0
23.572,0.198,48.0,14.833,0.357,0.036,0.079,1.539,8.0,14.917,0.0,0.864,1,-0.344,0.211,1
19.14,0.394,24.27,17.895,0.519,-0.109,0.395,1.494,3.786,17.75,0.144,0.682,0,0.803,0.275,1
22.924,0.909,12.6,7.674,-0.038,0.066,0.202,1.736,8.0,3.912,0.068,0.375,0,0.254,0.691,1
19.887,0.672,14.8,12.52,0.274,-0.037,0.171,1.275,7.456,12.947,0.043,0.675,1,0.067,0.111,1
20.718,0.122,48.0,12.646,0.552,0.268,0.333,2.543,7.637,5.853,0.024,0.18,0,0.703,0.56,1
13.216,0.86,7.69,21.427,0.06,0.018,0.534,1.68,3.145,17.151,0.119,0.858,1,-0.356,0.248,1
20.419,0.464,22.0,9.272,0.396,0.189,0.44,1.716,3.901,8.494,0.015,0.936,0,0.052,0.348,1
15.467,0.953,8.12,6.854,0.363,0.091,0.243,1.699,6.998,7.247,0.087,0.902,0,0.8,0.265,1
16.462,0.578,14.24,13.211,0.693,-0.23,0.456,2.101,4.611,10.179,0.051,0.441,1,0.05,0.912,1
26.791,0.651,20.57,15.437,0.304,0.032,0.05,1.888,8.0,9.1,0.054,0.225,0,0.956,0.275,1
9.556,0.895,5.34,12.012,0.316,-0.197,0.237,1.821,7.682,9.52,0.025,0.218,0,0.375,0.067,1
4.891,0.376,6.51,22.142,0.521,0.028,0.226,1.968,8.0,13.289,0.049,0.533,1,0.557,0.332,1
25.92,0.352,36.84,9.257,0.085,-0.099,0.362,0.688,1.901,7.619,0.08,0.645,1,0.567,0.257,1
20.428,0.551,18.54,12.161,0.306,0.126,0.32,0.707,2.211,9.364,0.092,0.414,1,0.101,0.194,1
32.65,0.807,20.23,4.902,0.259,-0.218,0.329,1.562,4.751,5.022,0.041,0.411,0,-0.071,0.18,1
12.776,0.267,23.9,6.649,0.322,0.053,0.324,1.501,4.636,3.937,0.075,0.4,1,0.06,0.373,1
17.832,0.183,48.0,7.701,0.52,0.164,0.353,1.89,5.348,4.312,0.124,0.478,1,-0.245,0.589,1
19.474,0.806,12.08,10.058,0.461,0.232,0.431,1.61,3.735,7.839,0.0,0.604,1,0.077,0.137,1
13.987,0.449,15.57,5.359,0.2,-0.103,0.372,1.891,5.078,2.36,0.08,0.247,0,0.098,0.157,1
11.996,0.502,11.95,14.73,0.377,0.054,0.307,0.977,3.179,8.595,0.032,0.604,0,0.691,0.403,1
26.507,0.136,48.0,7.341,0.648,0.087,0.41,1.595,3.887,5.013,0.027,0.705,0,0.308,0.441,1
9.089,0.43,10.56,29.083,0.184,0.359,0.474,0.929,1.961,22.979,0.093,0.728,0,0.927,0.509,1
11.042,0.598,9.23,7.479,0.379,-0.246,0.267,1.793,6.727,4.604,0.053,0.325,0,-0.656,0.146,1
17.557,0.833,10.54,11.538,0.311,-0.132,0.341,0.661,1.937,9.79,0.019,0.703,0,-0.326,0.378,0
27.892,0.407,34.25,10.821,0.337,0.5,0.524,1.774,3.384,11.933,0.146,0.669,1,-0.024,0.35,1
14.423,1.014,7.11,6.345,0.024,-0.005,0.185,0.866,4.689,5.298,0.126,0.484,0,0.622,0.27,1
13.565,0.429,15.81,10.078,0.632,-0.328,0.621,1.408,2.269,6.344,0.0,0.495,0,0.062,0.523,1
17.079,0.429,19.89,10.014,0.195,-0.067,0.149,2.047,8.0,4.502,0.006,0.696,0,-0.414,0.308,1
21.972,0.984,11.16,16.941,0.555,-0.504,0.298,1.714,5.747,8.629,0.11,0.751,1,0.014,0.104,1
